VIN,TRANSACTION_ID,CORRECTION_VERBATIM,CUSTOMER_VERBATIM,REPAIR_DATE,CAUSAL_PART_NM,GLOBAL_LABOR_CODE_DESCRIPTION,PLATFORM,BODY_STYLE,VPPC,PLANT,BUILD_COUNTRY,LAST_KNOWN_DLR_NAME,LAST_KNOWN_DLR_CITY,REPAIRING_DEALER_CODE,DEALER_NAME,REPAIR_DLR_CITY,STATE,DEALER_REGION,REPAIR_DLR_POSTAL_CD,REPAIR_AGE,KM,COMPLAINT_CD_CSI,COMPLAINT_CD,VEH_TEST_GRP,COUNTRY_SALE_ISO,ORD_SELLING_SRC_CD,OPTN_FAMLY_CERTIFICATION,OPTF_FAMLY_EMISSIOF_SYSTEM,GLOBAL_LABOR_CODE,TRANSACTION_CATEGORY,REPORTING_COST,TOTALCOST,LBRCOST,ENGINE,ENGINE_DESC,TRANSMISSION,TRANSMISSION_DESC,ENGINE_SOURCE_PLANT,ENGINE_TRACE_NBR,TRANSMISSION_SOURCE_PLANT,TRANSMISSION_TRACE_NBR,SRC_TXN_ID,SRC_VER_NBR,TRANSACTION_CNTR,MEDIA_FLAG,VIN_MODL_DESGTR,LINE_SERIES,LAST_KNOWN_DELVRY_TYPE_CD,NON_CAUSAL_PART_QTY,SALES_REGION_CODE,PROCESSED_TEXT,TAGS,PROCESSED_CORRECTION_VERBATIM,PROCESSED_CUSTOMER_VERBATIM
3HCSY9EL8NH181074,13044,remove and replace steering wheel,Customer states steering wheel delaminating,2024-02-02,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CCF,SIL,MX,Royal Wheels Auto Sales,SOMERTON PARK,AU-61501/316061,VictoryDrive Motors,SOMERTON PARK,SA,4,5044,17,,0,0-0315,T06.2375,AU,72,FE9,FTB,130,FREG,458.56,458.56,68.66,L87,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5",MQB,"BYT 10 SPD, 10L80, ATSS, CPA, GEN 2",830107152,N2221892JW4X0124,287827.0,S2221442XKJX0910,2822088042,2,1,N,CF18543,1500,14.13265306122449,1,4,"['remove', 'replace', 'steering', 'wheel']",[],remove replace steering wheel,customer states steering wheel delaminating
1HNSKRKL5SR469158,13038,RR STEERING WHEEL,INSTALL SOP Customer states THE STITCHING ON THE STEERING WHEEL IS COMING LOOSE PRA ACCEPTED PREAUTHORIZATION NUMBER 493070000000,2024-02-02,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Utility,4 Door Utility,T1UCF,ARL,US,Apex Auto Traders,BOLINGBROOK,13-11298/227245,DiamondEdge Auto,BOLINGBROOK,IL,1,604403522,5,491.0,0,0-0890,T06.2375,US,13,FE9,FTB,130,FREG,388.02,388.02,96.93,L87,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",249196973,K2212981MFYX2092,17749294.0,R2212882CKJX0981,2820480799,6,1,Y,CF10706,1500,10.0,0,1,"['rr', 'steering', 'wheel']",[],rr steering wheel,install sop customer states stitching steering wheel coming loose pra accepted preauthorization number 493070000000
1HKS2JKL0SR471303,13038,test drove and duplicated customers concern found super cruise inop found dtc b19f2 00 heated steering wheel module code in imageprocessing module found doc id 6270800 found code was current and would not clear found new wheel will be needed reached out totac and found issue to be steering wheelmodule part on order PRA 495999100000 222024 replaced steering wheelmodule andcleared codes performed test drive on i95 and found super cruise to be fully functional after repairs,CUSTOMER STATES SUPER CRUISE INOPERATIVE,2024-02-02,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Utility,4 Door Utility,T1YGF,ARL,US,Coastal Auto Sales,DANVERS,48-06248/316810,LuxeWheel Motors,DANVERS,MA,1,19233197,3,,0,0-0310,T06.2375,US,48,NE1,FUC,130,FREG,"1,268.82",435.26,69.8,L87,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",830107152,N2212081MFYX0422,287827.0,S2212092CKJX1212,2820809208,4,1,N,TF10906,1500,16.0,0,1,"['test', 'drove', 'duplicated', 'customers', 'concern', 'found', 'super', 'cruise', 'inop', 'found', 'dtc', 'b19f2', '00', 'heated', 'steering', 'wheel', 'module', 'code', 'imageprocessing', 'module', 'found', 'doc', 'id', '6270800', 'found', 'code', 'current', 'would', 'clear', 'found', 'new', 'wheel', 'needed', 'reached', 'totac', 'found', 'issue', 'steering', 'wheelmodule', 'part', 'order', 'pra', '495999100000', '222024', 'replaced', 'steering', 'wheelmodule', 'andcleared', 'codes', 'performed', 'test', 'drive', 'i95', 'found', 'super', 'cruise', 'fully', 'functional', 'repairs']",['failure_condition'],test drove duplicated customers concern found super cruise inop found dtc b19f2 00 heated steering wheel module code imageprocessing module found doc id 6270800 found code current would clear found new wheel needed reached totac found issue steering wheelmodule part order pra 495999100000 222024 replaced steering wheelmodule andcleared codes performed test drive i95 found super cruise fully functional repairs,customer states super cruise inoperative
3HRFFDER8NH522491,13039,01305 REPLACE STEERING WHEEL,CS BLEMISH ON STEERING WHEEL SOP IN,2024-02-02,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CGF,SIL,MX,Velocity Wheels,HOUSTON,11-45870/322530,ApexShore Motors,HOUSTON,TX,1,770653605,22,,0,0-0890,T03.0353,US,48,FE9,FTB,130,FREG_POL,430.11,430.11,86.07,LM2,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, AL UM, CSS50V",MQC,"BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",70628511,V2220842CVCX0228,287827.0,S2220701CNJX0928,2820990411,6,1,Y,TF10543,1500,10.0,0,1,"['01305', 'replace', 'steering', 'wheel']",[],01305 replace steering wheel,cs blemish steering wheel sop
1HNSKRKD6RR110090,13042,Steering Wheel Replacement,CUSTOMERS STATES THE STITCHING IS COMING UNDO NE ON THE STEERING,2024-02-05,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Utility,4 Door Utility,T1UCF,ARL,US,BlueHorizon Autos,MIDLOTHIAN,13-14002/227353,Crestview Auto Sales,MIDLOTHIAN,VA,1,231120000,2,,0,0-0312,T05.3386,US,13,FE9,FTB,130,FREG,435.26,435.26,61.08,L84,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",249196973,K2211211MF1X2480,287827.0,S2211222CKJX2809,2820889729,8,1,Y,CF10706,1500,10.0,0,1,"['steering', 'wheel', 'replacement']",[],steering wheel replacement,customers states stitching coming undo ne steering
3HCFDDED5NH572905,13065,AUTORIZACIN ACEPTADA VOLANTE REEMPLAZADO PARA CORREGIR LA PREOCUPACIN,CS STEERING WHEEL LEATHER IS COMING UNDONE AT LOWER SECTION,2024-02-05,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CCF,SIL,MX,Uptown Auto Sales,WEST VALLEY CITY,13-11028/112853,SummitEdge Motors,AUBURN,IN,1,467062010,21,,0,0-0890,T05.3386,US,13,FE9,FTB,130,FREG,205.96,238.04,63.71,L84,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5",MHT,"BYT 10 SPD, 10R80, GRX, GEN 1, ATSS, VAR 1",812040194,A2222292JW9X2280,287827.0,S1222212BKJX2289,2822178289,14,1,Y,CF10543,1500,10.0,0,1,"['autorizacin', 'aceptada', 'volante', 'reemplazado', 'para', 'corregir', 'la', 'preocupacin']",[],autorizacin aceptada volante reemplazado para corregir la preocupacin,cs steering wheel leather coming undone lower section
1HR49XEY6RF285876,13052,REPLACED STEERING COLUMN HARNESS WITH ADDITIONAL AIR BAG,General Concern Covered by W service safety restraints light,2024-02-05,HARNESS ASM-STRG WHL HORN SW WRG,Steering Wheel Horn Switch Wiring Harness Replacement,Full-Size Trucks,Crew Cab,T1CGH,FLT,US,Golden Wheel Motors,SAN ANTONIO,11-45651/118664,HorizonStar Auto,SAN ANTONIO,TX,1,782321415,3,,0,0-0621,D06.6385,US,48,FE9,FTB,20,FREG,"1,166.27",435.26,190.58,L5P,"DIESEL, 8 CYL, 6.6L, DI, V8, TURBO, DURAMAX, GEN 5 VAR. 1",MGM,"BYT 10 SPD, 10R1000, GRX, GEN 1, VAR 1",79253428,R2211274JFHX0197,8042172.0,Y0211271MKFX0248,2822044999,6,1,Y,TF20743,2500,10.0,1,1,"['replaced', 'steering', 'column', 'harness', 'additional', 'air', 'bag']",['failure_condition'],replaced steering column harness additional air bag,general concern covered w service safety restraints light
3HNKBCR47NS151581,13039,replaced steering wheel,steering wheel bezel bubbling SOP IN,2024-02-05,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Crossover SUV,4 Door Utility,C1UC,RAM,MX,Ridgeview Car Sales,CAPE CORAL,13-26013/169633,LegacyRoad Motors,CAPE CORAL,FL,1,339912046,23,,0,0-0310,T02.0500,US,13,FE9,FTB,130,FREG_POL,284.89,284.89,57.2,LSY,"GAS, 4 CYL, L4, 2.0L, SIDI, DOHC, VVT, ALUM, TURB O, VAR 3",M3T,"EU:N:X:Z|TRANSMISSION BYT 9 SPD, 9T60, GEN 1",830107152,N2220202JUHX0917,822972980.0,22220280WHBP0898,2820871997,4,1,Y,1NF26,2LT,10.0,0,1,"['replaced', 'steering', 'wheel']",['failure_condition'],replaced steering wheel,steering wheel bezel bubbling sop
1HNSKCKDXNR189867,13039,removed and replaced steering wheel,CUSTOMER STATES NEW HEATED STEERING WHEEL INSTALLED AS RETROFIT ON RO 22330 IN COMING APART TOWARDS BOTTOM OF STEERING WHEEL,2024-02-05,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Utility,4 Door Utility,T1YCF,ARL,US,PrimeWheel Motors,FREEHOLD,13-02162/307311,GoldPeak Car Traders,FREEHOLD,NJ,1,77288534,25,,0,0-0312,T05.3386,US,13,NE1,FUC,130,FREG,256.11,256.11,66.33,L84,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",812040194,A2220012JW9X0711,17749294.0,R2221472CKJX0891,2820888229,4,1,N,CF10906,1500,10.0,0,1,"['removed', 'replaced', 'steering', 'wheel']",['failure_condition'],removed replaced steering wheel,customer states new heated steering wheel installed retrofit ro 22330 coming apart towards bottom steering wheel
1HKKNLLS4SZ248206,13045,INSPECTED STEERING WHEEL AND FOUND LEATHER UNDER STITCHING AT LEFT HAN D THUMB GRIP TO HAVE STARTED TO LIFT PICTURES OFWHEELTAKEN REPLACE ORDERED STEERING WHEEL PRA 496611700000,RERE STEERING WHEEL PART IS HERE,2024-02-05,WHEEL ASM-STRG *BLACK,Steering Wheel Replacement,Crossover SUV,4 Door Utility,C1UG,SHT,US,Evergreen Car Traders,BRANTFORD,14-85634/120802,RoyalDrive Motors,BRANTFORD,ON,1,N3R8B8,5,,0,0-0310,T03.6151,CA,14,FE9,FTB,130,FREG,355.82,435.26,31.93,LGX,"GAS, 6 CYL, 3.6L, V6, DI, DOHC, VVT, ALUM, GEN 2",M3W,"TRANSMISSION BYT 9 SPD, 9T65, ETRS GEN 1",37749264,W2221892JDPX0288,822972980.0,21212072SKBP0140,2820987849,6,1,N,TNC26,AT4,10.0,0,1,"['inspected', 'steering', 'wheel', 'found', 'leather', 'stitching', 'left', 'han', 'thumb', 'grip', 'started', 'lift', 'pictures', 'ofwheeltaken', 'replace', 'ordered', 'steering', 'wheel', 'pra', '496611700000']",[],inspected steering wheel found leather stitching left han thumb grip started lift pictures ofwheeltaken replace ordered steering wheel pra 496611700000,rere steering wheel part
